"disaster group","disaster subgroup","disaster type",continent,region,occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
Natural,Biological,Epidemic,Asia,"Western Asia",30,1069,220987,2217,0,223204,0
Natural,Biological,Epidemic,Europe,"Eastern Europe",19,321,172822,0,0,172822,0
Natural,Biological,Epidemic,Europe,"Northern Europe",9,73,2021,0,0,2021,0
Natural,Biological,Epidemic,Europe,"Russian Federation",2,2500000,18000000,0,0,18000000,0
Natural,Biological,Epidemic,Europe,"Southern Europe",12,47,14071,0,0,14071,0
Natural,Biological,Epidemic,Europe,"Western Europe",7,34,920,0,0,920,0
Natural,Biological,Epidemic,Oceania,"Australia and New Zealand",3,6700,7,0,0,7,0
Natural,Biological,Epidemic,Oceania,Melanesia,9,451,13408,0,0,13408,0
Natural,Biological,Epidemic,Oceania,Micronesia,3,42,4001,0,0,4001,0
Natural,Biological,Epidemic,Oceania,Polynesia,4,8,2867,0,0,2867,0
Natural,Biological,"Insect infestation",Africa,"Eastern Africa",12,0,2300000,0,0,2300000,3500
Natural,Biological,"Insect infestation",Africa,"Middle Africa",7,0,0,0,0,0,1700
Natural,Biological,"Insect infestation",Africa,"Northern Africa",14,0,0,0,0,0,0
Natural,Biological,"Insect infestation",Africa,"Southern Africa",1,0,0,0,0,0,0
Natural,Biological,"Insect infestation",Africa,"Western Africa",35,0,500000,0,0,500000,0
Natural,Biological,"Insect infestation",Americas,"South America",3,0,2000,0,0,2000,104000
Natural,Biological,"Insect infestation",Asia,"Central Asia",1,0,0,0,0,0,0
Natural,Biological,"Insect infestation",Asia,"Eastern Asia",1,0,0,0,0,0,0
Natural,Biological,"Insect infestation",Asia,"South-Eastern Asia",3,0,200,0,0,200,925
Natural,Biological,"Insect infestation",Asia,"Southern Asia",3,0,0,0,0,0,0
Natural,Biological,"Insect infestation",Asia,"Western Asia",3,0,0,0,0,0,0
Natural,Biological,"Insect infestation",Europe,"Eastern Europe",1,0,0,0,0,0,0
Natural,Biological,"Insect infestation",Oceania,"Australia and New Zealand",2,0,0,0,0,0,120000
Natural,Climatological,Drought,Africa,"Eastern Africa",129,543561,239352253,0,0,239352253,371900
Natural,Climatological,Drought,Africa,"Middle Africa",26,3058,13779800,0,0,13779800,84500
Natural,Climatological,Drought,Africa,"Northern Africa",19,150012,31953400,0,0,31953400,900100
Natural,Climatological,Drought,Africa,"Southern Africa",35,500,27011615,0,0,27011615,3164739
Natural,Climatological,Drought,Africa,"Western Africa",98,170012,81728085,0,0,81728085,507354
Natural,Climatological,Drought,Americas,Caribbean,27,0,4731762,0,0,4731762,197639
Natural,Climatological,Drought,Americas,"Central America",44,41,13522706,0,0,13522706,2373400
Natural,Climatological,Drought,Americas,"Northern America",19,0,55000,0,0,55000,46645000
Natural,Climatological,Drought,Americas,"South America",61,36,89754003,0,0,89754003,13215100
Natural,Climatological,Drought,Asia,"Central Asia",4,0,6400000,0,0,6400000,107000
Natural,Climatological,Drought,Asia,"Eastern Asia",49,3503534,542250000,0,0,542250000,29760420
Natural,Climatological,Drought,Asia,"South-Eastern Asia",46,9348,60455029,0,0,60455029,1451820
Natural,Climatological,Drought,Asia,"Southern Asia",46,6150518,1147985000,0,0,1147985000,6165372
Natural,Climatological,Drought,Asia,"Western Asia",16,0,5452000,0,20000,5472000,487000
Natural,Climatological,Drought,Europe,"Eastern Europe",16,2,1216194,0,0,1216194,6120000
Natural,Climatological,Drought,Europe,"Northern Europe",3,0,0,0,0,0,1030173
Natural,Climatological,Drought,Europe,"Russian Federation",1,1200000,5000000,0,0,5000000,0
Natural,Climatological,Drought,Europe,"Southern Europe",17,0,9272575,0,0,9272575,16721136
Natural,Climatological,Drought,Europe,"Western Europe",5,0,0,0,0,0,1610000
