Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
Quick Access to Dist Site 1,MaxDistSite1TimeWaiting,30.1340803393411,34.0017054940952,22.0002563972517,45.8290903421704,5.49993282799908,24.634147511342,35.6340131673402,34.0747165257928,NaN,NaN,23.8426695098487,22.0002563972517,34.0017054940952
Quick Access to Dist Site 1,AvgBeneficiaryTimeInSystem,5.19903800096191,3.93391519816732,2.77560484560552,8.90714274242732,1.72636541973389,3.47267258122802,6.9254034206958,7.88106812513427,NaN,NaN,3.39843775044751,2.77560484560552,3.93391519816732
Warehouse Vehicle No Failures,ReliefSupplyItemTimeInSystemAverage,116.452924068194,117.573400919392,113.865252879338,119.243326391911,1.49118038732414,114.96174368087,117.944104455518,118.386639300366,NaN,NaN,114.474529150993,113.865252879338,117.573400919392
Warehouse Vehicle No Failures,ReliefBeneficiaryNumberCreated,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Warehouse Vehicle No Failures,UnsatisfiedBeneficiaries,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0
Warehouse Vehicle No Failures,ReliefSuppliesDistributed,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Warehouse Vehicle No Failures,MaxDistSite2TimeWaiting,35.6978890487469,37.6766636360821,25.9275151742368,60.7340798862497,7.21609971978387,28.481789328963,42.9139887685308,38.0970460953978,NaN,NaN,28.7919170137467,25.9275151742368,37.6766636360821
Warehouse Vehicle No Failures,MaxDistSite1TimeWaiting,36.7913690948628,37.7819024343958,25.9027239832961,50.6882732864904,5.90716719102786,30.8842019038349,42.6985362858907,38.6241733482969,NaN,NaN,30.6120719088201,25.9027239832961,37.7819024343958
Warehouse Vehicle No Failures,AvgBeneficiaryTimeInSystem,4.66327457516436,4.71414176912263,3.87277376791907,5.64088586260986,0.406964144016131,4.25631043114823,5.07023871918049,4.89147716238705,NaN,NaN,4.36467953114101,3.87277376791907,4.71414176912263
Warehouse Vehicle Midlevel Failures,ReliefSupplyItemTimeInSystemAverage,117.247987828479,117.217825798126,114.713379727705,119.224927623022,1.02568368763747,116.222304140842,118.273671516117,118.606104196106,NaN,NaN,116.241681130472,114.713379727705,117.217825798126
Warehouse Vehicle Midlevel Failures,ReliefBeneficiaryNumberCreated,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Warehouse Vehicle Midlevel Failures,UnsatisfiedBeneficiaries,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0
Warehouse Vehicle Midlevel Failures,ReliefSuppliesDistributed,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Warehouse Vehicle Midlevel Failures,MaxDistSite2TimeWaiting,34.3524762113756,37.7804204900178,26.1817727358999,40.2599594330698,4.0304011695523,30.3220750418233,38.3828773809279,38.6182263715567,NaN,NaN,27.4982196508266,26.1817727358999,37.7804204900178
Warehouse Vehicle Midlevel Failures,MaxDistSite1TimeWaiting,33.4270753327796,36.7200477178278,25.7582359538419,40.5436254393979,4.41111803139911,29.0159573013805,37.8381933641788,38.6465398534368,NaN,NaN,26.7330396442984,25.7582359538419,36.7200477178278
Warehouse Vehicle Midlevel Failures,AvgBeneficiaryTimeInSystem,4.1737265216481,3.98975583987489,3.1736394540382,5.09564754798965,0.474795193592505,3.69893132805559,4.6485217152406,4.8889622509319,NaN,NaN,3.70091482074213,3.1736394540382,3.98975583987489
Distribution Site 2 Closed,ReliefSupplyItemTimeInSystemAverage,110.239355569258,111.253488971772,98.9927782974919,118.936230510982,4.49896644360691,105.740389125652,114.738322012865,114.760794915299,NaN,NaN,104.931682418161,98.9927782974919,111.253488971772
Distribution Site 2 Closed,ReliefBeneficiaryNumberCreated,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Distribution Site 2 Closed,UnsatisfiedBeneficiaries,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0
Distribution Site 2 Closed,ReliefSuppliesDistributed,20000,20000,20000,20000,0,20000,20000,20000,NaN,NaN,20000,20000,20000
Distribution Site 2 Closed,MaxDistSite2TimeWaiting,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Distribution Site 2 Closed,MaxDistSite1TimeWaiting,26.8060335750246,26.7149611433065,25.4952837642832,28.3439496137828,0.643060174017545,26.1629734010071,27.4490937490422,27.2304671012867,NaN,NaN,26.2399788774227,25.4952837642832,26.7149611433065
Distribution Site 2 Closed,AvgBeneficiaryTimeInSystem,4.70634517188098,4.4542679718868,3.97493181685153,6.31652414080106,0.530540832819446,4.17580433906153,5.23688600470042,4.6987322211442,NaN,NaN,4.27114701654013,3.97493181685153,4.4542679718868
